@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute 1-1 numeric

@data
79,'2018/02/28 04:52:46:431',1,-654.517273,414.045471,1297.572144,?
80,'2018/02/28 04:52:46:434',1,-654.517273,414.045471,1297.572144,?
81,'2018/02/28 04:52:46:465',1,-654.075439,413.968597,1297.341309,?
82,'2018/02/28 04:52:46:468',1,-654.075439,413.968597,1297.341309,?
83,'2018/02/28 04:52:46:498',1,-654.075439,413.968597,1297.341309,?
84,'2018/02/28 04:52:46:501',1,-654.075439,413.968597,1297.341309,?
85,'2018/02/28 04:52:46:531',1,-654.075439,413.968597,1297.341309,?
86,'2018/02/28 04:52:46:535',1,-654.075439,413.968597,1297.341309,?
87,'2018/02/28 04:52:46:551',1,-654.075439,413.968597,1297.341309,?
88,'2018/02/28 04:52:46:579',1,-654.075439,413.968597,1297.341309,?
89,'2018/02/28 04:52:46:598',1,-653.973328,414.084137,1297.713745,?
90,'2018/02/28 04:52:46:601',1,-653.973328,414.084137,1297.713745,?
91,'2018/02/28 04:52:46:633',1,-654.63324,414.154144,1297.943481,?
92,'2018/02/28 04:52:46:635',1,-654.63324,414.154144,1297.943481,?
93,'2018/02/28 04:52:46:665',1,-654.63324,414.154144,1297.943481,?
94,'2018/02/28 04:52:46:668',1,-654.63324,414.154144,1297.943481,?
95,'2018/02/28 04:52:46:701',1,-654.63324,414.154144,1297.943481,?
96,'2018/02/28 04:52:46:703',1,-654.63324,414.154144,1297.943481,?
97,'2018/02/28 04:52:46:718',1,-654.63324,414.154144,1297.943481,?
98,'2018/02/28 04:52:46:748',1,-654.390259,414.199921,1298.096924,?
99,'2018/02/28 04:52:46:765',1,-654.390259,414.199921,1298.096924,?
100,'2018/02/28 04:52:46:767',1,-654.390259,414.199921,1298.096924,?
101,'2018/02/28 04:52:46:786',1,-654.390259,414.199921,1298.096924,?
102,'2018/02/28 04:52:46:815',1,-654.235474,414.278442,1298.352539,?
103,'2018/02/28 04:52:46:818',1,-654.235474,414.278442,1298.352539,?
104,'2018/02/28 04:52:46:834',1,-654.235474,414.278442,1298.352539,?
105,'2018/02/28 04:52:46:865',1,-654.169739,414.390564,1298.712891,?
106,'2018/02/28 04:52:46:868',1,-654.169739,414.390564,1298.712891,?
107,'2018/02/28 04:52:46:897',1,-654.835693,414.438965,1298.872803,?
108,'2018/02/28 04:52:46:901',1,-654.835693,414.438965,1298.872803,?
109,'2018/02/28 04:52:46:933',1,-654.413513,414.346863,1298.591431,?
110,'2018/02/28 04:52:46:934',1,-654.413513,414.346863,1298.591431,?
111,'2018/02/28 04:52:46:965',1,-654.207153,414.370239,1298.671143,?
112,'2018/02/28 04:52:46:967',1,-654.207153,414.370239,1298.671143,?
113,'2018/02/28 04:52:46:997',1,-654.207153,414.370239,1298.671143,?
114,'2018/02/28 04:52:47:002',1,-654.207153,414.370239,1298.671143,?
115,'2018/02/28 04:52:47:033',1,-654.207153,414.370239,1298.671143,?
116,'2018/02/28 04:52:47:035',1,-654.207153,414.370239,1298.671143,?
117,'2018/02/28 04:52:47:067',1,-653.860474,414.283752,1298.405518,?
118,'2018/02/28 04:52:47:069',1,-653.860474,414.283752,1298.405518,?
119,'2018/02/28 04:52:47:101',1,-653.960205,414.460388,1298.963867,?
120,'2018/02/28 04:52:47:102',1,-653.960205,414.460388,1298.963867,?
121,'2018/02/28 04:52:47:132',1,-653.930237,414.536133,1299.205322,?
122,'2018/02/28 04:52:47:134',1,-653.930237,414.536133,1299.205322,?
123,'2018/02/28 04:52:47:166',1,-653.902832,414.596436,1299.397705,?
124,'2018/02/28 04:52:47:167',1,-653.902832,414.596436,1299.397705,?
125,'2018/02/28 04:52:47:198',1,-653.87439,414.640656,1299.539185,?
126,'2018/02/28 04:52:47:201',1,-653.87439,414.640656,1299.539185,?
127,'2018/02/28 04:52:47:230',1,-654.09552,414.829407,1300.132935,?
128,'2018/02/28 04:52:47:235',1,-654.09552,414.829407,1300.132935,?
129,'2018/02/28 04:52:47:264',1,-654.09552,414.829407,1300.132935,?
130,'2018/02/28 04:52:47:268',1,-654.09552,414.829407,1300.132935,?
131,'2018/02/28 04:52:47:299',1,-654.061157,414.844208,1300.18103,?
132,'2018/02/28 04:52:47:301',1,-654.061157,414.844208,1300.18103,?
133,'2018/02/28 04:52:47:332',1,-653.922546,414.782593,1299.989014,?
134,'2018/02/28 04:52:47:334',1,-653.922546,414.782593,1299.989014,?
135,'2018/02/28 04:52:47:365',1,-653.934937,414.808014,1300.06958,?
136,'2018/02/28 04:52:47:368',1,-653.934937,414.808014,1300.06958,?
137,'2018/02/28 04:52:47:397',1,-653.934937,414.808014,1300.06958,?
138,'2018/02/28 04:52:47:401',1,-653.934937,414.808014,1300.06958,?
139,'2018/02/28 04:52:47:431',1,-653.934937,414.808014,1300.06958,?
140,'2018/02/28 04:52:47:434',1,-653.934937,414.808014,1300.06958,?
141,'2018/02/28 04:52:47:468',1,-653.934937,414.808014,1300.06958,?
142,'2018/02/28 04:52:47:469',1,-653.934937,414.808014,1300.06958,?
143,'2018/02/28 04:52:47:500',1,-653.934937,414.808014,1300.06958,?
144,'2018/02/28 04:52:47:501',1,-653.934937,414.808014,1300.06958,?
145,'2018/02/28 04:52:47:531',1,-653.578735,414.592407,1299.394409,?
146,'2018/02/28 04:52:47:534',1,-653.578735,414.592407,1299.394409,?
147,'2018/02/28 04:52:47:552',1,-653.578735,414.592407,1299.394409,?
148,'2018/02/28 04:52:47:580',1,-653.578735,414.592407,1299.394409,?
149,'2018/02/28 04:52:47:586',1,-653.578735,414.592407,1299.394409,?
150,'2018/02/28 04:52:47:601',1,-653.578735,414.592407,1299.394409,?
151,'2018/02/28 04:52:47:630',1,-653.578735,414.592407,1299.394409,?
152,'2018/02/28 04:52:47:634',1,-653.578735,414.592407,1299.394409,?
153,'2018/02/28 04:52:47:664',1,-653.637878,414.634338,1299.526001,?
154,'2018/02/28 04:52:47:668',1,-653.637878,414.634338,1299.526001,?
155,'2018/02/28 04:52:47:698',1,-653.599792,414.609833,1299.449219,?
156,'2018/02/28 04:52:47:701',1,-653.599792,414.609833,1299.449219,?
157,'2018/02/28 04:52:47:718',1,-653.599792,414.609833,1299.449219,?
158,'2018/02/28 04:52:47:747',1,-653.599792,414.609833,1299.449219,?
159,'2018/02/28 04:52:47:751',1,-653.599792,414.609833,1299.449219,?
160,'2018/02/28 04:52:47:768',1,-653.599792,414.609833,1299.449219,?
161,'2018/02/28 04:52:47:795',1,-653.70697,414.673798,1299.649536,?
162,'2018/02/28 04:52:47:801',1,-653.70697,414.673798,1299.649536,?
163,'2018/02/28 04:52:47:818',1,-653.70697,414.673798,1299.649536,?
164,'2018/02/28 04:52:47:834',1,-653.70697,414.673798,1299.649536,?
165,'2018/02/28 04:52:47:867',1,-653.70697,414.673798,1299.649536,?
166,'2018/02/28 04:52:47:868',1,-653.70697,414.673798,1299.649536,?
167,'2018/02/28 04:52:47:900',1,-653.70697,414.673798,1299.649536,?
168,'2018/02/28 04:52:47:901',1,-653.70697,414.673798,1299.649536,?
169,'2018/02/28 04:52:47:933',1,-653.70697,414.673798,1299.649536,?
170,'2018/02/28 04:52:47:934',1,-653.70697,414.673798,1299.649536,?
171,'2018/02/28 04:52:47:965',1,-653.70697,414.673798,1299.649536,?
172,'2018/02/28 04:52:47:968',1,-653.70697,414.673798,1299.649536,?
173,'2018/02/28 04:52:47:998',1,-653.636353,414.622284,1299.487793,?
174,'2018/02/28 04:52:48:001',1,-653.636353,414.622284,1299.487793,?
175,'2018/02/28 04:52:48:031',1,-653.636353,414.622284,1299.487793,?
176,'2018/02/28 04:52:48:035',1,-653.636353,414.622284,1299.487793,?
177,'2018/02/28 04:52:48:064',1,-653.636353,414.622284,1299.487793,?
178,'2018/02/28 04:52:48:068',1,-653.636353,414.622284,1299.487793,?
179,'2018/02/28 04:52:48:084',1,-653.636353,414.622284,1299.487793,?
180,'2018/02/28 04:52:48:101',1,-653.636353,414.622284,1299.487793,?
181,'2018/02/28 04:52:48:130',1,-653.636353,414.622284,1299.487793,?
182,'2018/02/28 04:52:48:134',1,-653.636353,414.622284,1299.487793,?
183,'2018/02/28 04:52:48:165',1,-653.636353,414.622284,1299.487793,?
184,'2018/02/28 04:52:48:168',1,-653.636353,414.622284,1299.487793,?
185,'2018/02/28 04:52:48:198',1,-653.636353,414.622284,1299.487793,?
186,'2018/02/28 04:52:48:201',1,-653.636353,414.622284,1299.487793,?
187,'2018/02/28 04:52:48:230',1,-653.636353,414.622284,1299.487793,?
188,'2018/02/28 04:52:48:235',1,-653.636353,414.622284,1299.487793,?
189,'2018/02/28 04:52:48:265',1,-654.176697,414.451782,1298.953125,?
190,'2018/02/28 04:52:48:268',1,-654.176697,414.451782,1298.953125,?
191,'2018/02/28 04:52:48:300',1,-654.046448,414.423706,1298.864746,?
192,'2018/02/28 04:52:48:301',1,-654.046448,414.423706,1298.864746,?
193,'2018/02/28 04:52:48:332',1,-654.046448,414.423706,1298.864746,?
194,'2018/02/28 04:52:48:336',1,-654.046448,414.423706,1298.864746,?
195,'2018/02/28 04:52:48:365',1,-654.02832,414.463898,1298.990356,?
196,'2018/02/28 04:52:48:368',1,-654.02832,414.463898,1298.990356,?
197,'2018/02/28 04:52:48:398',1,-654.02832,414.463898,1298.990356,?
198,'2018/02/28 04:52:48:401',1,-654.02832,414.463898,1298.990356,?
199,'2018/02/28 04:52:48:431',1,-653.596008,414.237701,1298.281128,?
200,'2018/02/28 04:52:48:434',1,-653.596008,414.237701,1298.281128,?
201,'2018/02/28 04:52:48:464',1,-654.243164,414.187042,1298.121826,?
202,'2018/02/28 04:52:48:467',1,-654.243164,414.187042,1298.121826,?
203,'2018/02/28 04:52:48:499',1,-654.160706,414.238556,1298.282959,?
204,'2018/02/28 04:52:48:501',1,-654.160706,414.238556,1298.282959,?
205,'2018/02/28 04:52:48:531',1,-654.160706,414.238556,1298.282959,?
206,'2018/02/28 04:52:48:534',1,-654.160706,414.238556,1298.282959,?
207,'2018/02/28 04:52:48:564',1,-654.443176,414.010895,1297.56897,?
208,'2018/02/28 04:52:48:567',1,-654.443176,414.010895,1297.56897,?
209,'2018/02/28 04:52:48:599',1,-654.897766,413.94809,1297.371704,?
210,'2018/02/28 04:52:48:602',1,-654.897766,413.94809,1297.371704,?
211,'2018/02/28 04:52:48:631',1,-655.098022,413.77829,1296.839111,?
212,'2018/02/28 04:52:48:635',1,-655.098022,413.77829,1296.839111,?
213,'2018/02/28 04:52:48:652',1,-655.098022,413.77829,1296.839111,?
214,'2018/02/28 04:52:48:667',1,-655.098022,413.77829,1296.839111,?
215,'2018/02/28 04:52:48:700',1,-655.098022,413.77829,1296.839111,?
216,'2018/02/28 04:52:48:701',1,-655.098022,413.77829,1296.839111,?
217,'2018/02/28 04:52:48:718',1,-655.098022,413.77829,1296.839111,?
218,'2018/02/28 04:52:48:744',1,-655.323486,413.674011,1296.512085,?
219,'2018/02/28 04:52:48:752',1,-655.323486,413.674011,1296.512085,?
220,'2018/02/28 04:52:48:780',1,-655.838623,413.797882,1296.900024,?
221,'2018/02/28 04:52:48:785',1,-655.838623,413.797882,1296.900024,?
