@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
62,'2018/02/28 01:18:09:028',1,69.608948,521.404419,1568.359863,0.335,0.021484,0.470959
63,'2018/02/28 01:18:09:045',1,69.608948,521.404419,1568.359863,0.335,0.021484,0.470959
64,'2018/02/28 01:18:09:060',1,69.608948,521.404419,1568.359863,0.335,0.021484,0.470959
65,'2018/02/28 01:18:09:078',1,69.608948,521.404419,1568.359863,0.335,0.021484,0.470959
66,'2018/02/28 01:18:09:093',1,69.608948,521.404419,1568.359863,0.335,0.021484,0.470959
67,'2018/02/28 01:18:09:131',1,76.187157,572.617737,1726.613647,0.335,0.021484,0.470959
68,'2018/02/28 01:18:09:163',1,82.116394,618.452637,1868.119629,0.335,0.021484,0.470959
69,'2018/02/28 01:18:09:177',1,82.116394,618.452637,1868.119629,0.335,0.021484,0.470959
70,'2018/02/28 01:18:09:194',1,82.116394,618.452637,1868.119629,0.335,0.021484,0.470959
71,'2018/02/28 01:18:09:210',1,82.116394,618.452637,1868.119629,0.335,0.021484,0.470959
72,'2018/02/28 01:18:09:241',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
73,'2018/02/28 01:18:09:260',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
74,'2018/02/28 01:18:09:277',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
75,'2018/02/28 01:18:09:294',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
76,'2018/02/28 01:18:09:311',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
77,'2018/02/28 01:18:09:328',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
78,'2018/02/28 01:18:09:343',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
79,'2018/02/28 01:18:09:361',1,76.061844,574.192017,1736.197144,0.335,0.021484,0.470959
80,'2018/02/28 01:18:09:397',1,70.615868,534.108154,1616.541992,0.335,0.021484,0.470959
81,'2018/02/28 01:18:09:429',1,66.519562,498.685272,1510.658936,0.335,0.021484,0.470959
82,'2018/02/28 01:18:09:445',1,66.519562,498.685272,1510.658936,0.335,0.021484,0.470959
83,'2018/02/28 01:18:09:462',1,66.519562,498.685272,1510.658936,0.335,0.021484,0.470959
84,'2018/02/28 01:18:09:495',1,62.939438,467.531433,1417.398193,0.335,0.021484,0.470959
85,'2018/02/28 01:18:09:511',1,62.939438,467.531433,1417.398193,0.335,0.021484,0.470959
86,'2018/02/28 01:18:09:529',1,62.939438,467.531433,1417.398193,0.335,0.021484,0.470959
87,'2018/02/28 01:18:09:545',1,62.939438,467.531433,1417.398193,0.335,0.021484,0.470959
88,'2018/02/28 01:18:09:561',1,62.939438,467.531433,1417.398193,0.335,0.021484,0.470959
89,'2018/02/28 01:18:09:593',1,59.182533,440.613068,1336.696777,0.335,0.021484,0.470959
90,'2018/02/28 01:18:09:612',1,59.182533,440.613068,1336.696777,0.335,0.021484,0.470959
91,'2018/02/28 01:18:09:626',1,59.182533,440.613068,1336.696777,0.335,0.021484,0.470959
92,'2018/02/28 01:18:09:644',1,59.182533,440.613068,1336.696777,0.335,0.021484,0.470959
93,'2018/02/28 01:18:09:675',1,56.683296,417.769745,1268.106079,0.335,0.021484,0.470959
94,'2018/02/28 01:18:09:695',1,56.683296,417.769745,1268.106079,0.335,0.021484,0.470959
95,'2018/02/28 01:18:09:710',1,56.683296,417.769745,1268.106079,0.335,0.021484,0.470959
96,'2018/02/28 01:18:09:741',1,65.858612,476.477905,1450.494873,0.335,0.021484,0.470959
97,'2018/02/28 01:18:09:761',1,65.858612,476.477905,1450.494873,0.335,0.021484,0.470959
98,'2018/02/28 01:18:09:794',1,62.76162,450.89325,1372.707886,0.335,0.021484,0.470959
99,'2018/02/28 01:18:09:829',1,60.077515,428.816559,1305.43042,0.335,0.021484,0.470959
100,'2018/02/28 01:18:09:844',1,60.077515,428.816559,1305.43042,0.335,0.021484,0.470959
101,'2018/02/28 01:18:09:862',1,60.077515,428.816559,1305.43042,0.335,0.021484,0.470959
102,'2018/02/28 01:18:09:879',1,60.077515,428.816559,1305.43042,0.335,0.021484,0.470959
103,'2018/02/28 01:18:09:911',1,57.781086,410.024139,1248.022217,0.335,0.021484,0.470959
104,'2018/02/28 01:18:09:944',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
105,'2018/02/28 01:18:09:962',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
106,'2018/02/28 01:18:09:978',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
107,'2018/02/28 01:18:09:993',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
108,'2018/02/28 01:18:10:010',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
109,'2018/02/28 01:18:10:029',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
110,'2018/02/28 01:18:10:045',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
111,'2018/02/28 01:18:10:060',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
112,'2018/02/28 01:18:10:077',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
113,'2018/02/28 01:18:10:094',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
114,'2018/02/28 01:18:10:111',1,55.855873,394.348846,1200.008179,0.335,0.021484,0.470959
115,'2018/02/28 01:18:10:145',1,54.29208,381.667969,1161.042358,0.335,0.021484,0.470959
116,'2018/02/28 01:18:10:161',1,54.29208,381.667969,1161.042358,0.335,0.021484,0.470959
117,'2018/02/28 01:18:10:176',1,54.29208,381.667969,1161.042358,0.335,0.021484,0.470959
118,'2018/02/28 01:18:10:212',1,53.027168,371.486877,1129.646606,0.335,0.021484,0.470959
119,'2018/02/28 01:18:10:227',1,53.027168,371.486877,1129.646606,0.335,0.021484,0.470959
